"id_pessoa";"idade_pessoa";"salario_ano_pessoa";"propriedade_pessoa";"anos_trabalhados_pessoa";"id_emprestimo";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros_emprestimo";"status_inadimplencia";"percentual_emprestimo_salario";"id_historico";"verifica_inadimplencia";"tempo_primeira_solicitacao"
"lTFAuz4n-XAQG";26;38340;"Hipoteca";7.0;"bwuJCFyH-B9Ly";"Pessoal";"B";2500;12.18;1;0.07;"Av4HE39F-sdM7";"N";4
"9FDLodgY-Lpzf";23;60000;"Propria";2.0;"H9LosMN1-QPaH";"Medico";"D";18500;15.33;0;0.31;"87qA8hsK-BDXZ";"N";2
"hbbKuiqB-KkxS";27;87360;"Hipoteca";0.0;"KZqWe9SZ-1d5B";"Melhora_do_lar";"B";7000;10.36;0;0.08;"16EA0Kuk-Wibu";"N";6
"7Jh0h7Cx-OshR";22;50000;"Propria";3.0;"8E68UraH-hnGX";"Educativo";"A";5000;7.29;0;0.1;"Y47z1aDd-Ziw1";"N";4
"9IExepwM-nx0W";25;50000;"Aluguel";3.0;"455o2JIj-drEP";"Pessoal";"D";4000;14.61;0;0.08;"Z4CP1kee-AShU";"Y";4
"EoLxohb9-CIC1";31;45000;"Hipoteca";16.0;"NoAfE78m-wC6J";"Empreendimento";"B";6000;10.99;0;0.13;"EUISsTtL-yyBe";"N";10
"78MwsdQX-Zu0S";32;62000;"Hipoteca";3.0;"Mo7Oz38v-fgUE";"Educativo";"B";20000;11.36;0;0.32;"upUjcHuu-UgLw";"N";9
"QgNbmxrQ-2N1q";22;36000;"Propria";6.0;"0WA9GIDS-bk0v";"Educativo";"B";14500;10.99;0;0.4;"ddWhUy6O-33GB";"N";3
"1yiiuvWp-QWex";55;54000;"Aluguel";4.0;"vbrg5URv-zgBR";"Pagamento_debitos";"C";1000;13.99;1;0.02;"gWlpPDug-TqxY";"N";27
"ir0c0W8h-Lijw";22;24000;"Aluguel";0.0;"fAn0avPb-rcwf";"Pagamento_debitos";"C";5200;13.49;0;0.22;"Y0rD9n2C-D95v";"Y";2
"SiPDzWMS-oU2B";21;45176;"Aluguel";1.0;"18evmfGj-3p6C";"Medico";"B";12000;11.49;0;0.27;"LXuAPRKc-L9IB";"N";3
"cL6Wl8B4-ngPp";32;86400;"Hipoteca";16.0;"gY4SUh9x-hmdU";"Medico";"A";8000;6.03;0;0.09;"iUmeyBff-aA4N";"N";10
"8TYMudgK-cBW5";0;45204;"Hipoteca";4.0;"dWjXgW6A-QG1D";"";"A";11700;10.74;0;0.26;"B38BM0vv-FJ9X";"N";2
"D4aitPeR-zShn";23;84000;"Aluguel";1.0;"Yq2YEE4a-HeKr";"Empreendimento";"A";10000;7.49;0;0.12;"M1A9RX3q-9NIr";"N";4
"uuxfZCc3-yREE";31;60000;"Hipoteca";5.0;"uCmuTGJI-lgY4";"Medico";"A";7200;6.03;0;0.12;"99KTbbun-q4wt";"N";8
"dMi1zv3m-Agoo";23;45000;"Aluguel";4.0;"F17PPq9A-beYa";"Educativo";"A";9000;5.99;0;0.2;"JQFujnlq-dvke";"N";3
"035BR3xf-elRK";22;26000;"Propria";2.0;"o2M0strt-O0lM";"Educativo";"A";7100;7.49;0;0.27;"EaSrtbuL-pGez";"N";2
"qwbJbQyS-nQOK";25;87000;"Aluguel";6.0;"b6qeT23z-LzU7";"Pagamento_debitos";"A";13000;7.29;0;0.15;"yo9XqTmJ-NxcS";"N";2
"xxCkiscF-H9kC";34;91000;"Aluguel";11.0;"qE6OSnmx-3ovj";"Medico";"B";25000;11.36;0;0.27;"gCEGD9RN-rD9o";"N";5
"NnboKjqy-6NCG";27;125000;"Hipoteca";1.0;"QYd8Jvgh-SuYB";"Melhora_do_lar";"A";24000;6.91;0;0.19;"AYbR1NjT-mfnd";"N";8
"XGrCoDSO-o1xh";22;41000;"Aluguel";2.0;"Xf5yXYgw-c8Dj";"Pagamento_debitos";"D";3600;16.77;1;0.09;"wnkIY26E-YjPD";"Y";3
"2oI8vhlB-B58Y";23;32388;"Hipoteca";0.0;"UujE5LBm-hstO";"Educativo";"B";6000;10.71;0;0.19;"ESEMqB6u-b3bq";"N";4
"DP9rySti-Bxfc";29;45324;"Hipoteca";4.0;"KMCOZUXF-2PgR";"Pessoal";"D";15150;14.54;0;0.33;"quiXRl9T-Yqrk";"N";10
"dp9O0OvK-Lr6a";36;37008;"Aluguel";8.0;"9HclnAUb-HoAS";"Empreendimento";"C";6000;14.79;0;0.16;"iuWeMFk1-779a";"Y";14
"U3gSlG9i-Wn8g";44;82000;"Hipoteca";5.0;"sv85BbHe-li59";"Pagamento_debitos";"C";8400;12.84;1;0.1;"XdWUUbdU-pY84";"Y";17
"pyGU8aXH-bRYq";23;79996;"Hipoteca";2.0;"rS3Z8dhb-7y65";"Educativo";"E";24000;16.32;0;0.3;"6R4iW5xa-u6TZ";"Y";3
"PxMPknrd-Hf2u";28;39000;"Aluguel";3.0;"IbJrHXGG-EOGU";"Empreendimento";"B";5000;10.25;0;0.13;"LYGM6nP4-41vf";"N";10
"rnZWWxtN-IEXq";22;45000;"Hipoteca";6.0;"sCL4As5B-83Io";"Empreendimento";"A";7000;8.94;0;0.16;"Cugoqqs8-fdlJ";"N";3
"0mg5QCvx-Xuza";21;27996;"Hipoteca";5.0;"Q5ax8QZv-4qmA";"Educativo";"A";10000;9.63;0;0.36;"GmeWoilv-AyW5";"N";4
"TDWa1Bbb-AekR";26;36000;"Aluguel";5.0;"wWctZbGH-D63Y";"Medico";"B";8550;10.25;1;0.24;"qt6jW6Eb-dJ8v";"N";2
"MjtkzxGI-S8zT";26;50000;"Aluguel";2.0;"yPI3XAfA-KpmL";"Empreendimento";"A";7000;9.63;0;0.14;"ARye77Ge-9Njo";"N";2
"udkrALzv-WsCF";22;80000;"Aluguel";1.0;"vNM7U0tq-eKvS";"Educativo";"B";18000;10.99;0;0.23;"KRn3vfJT-RFyW";"N";4
"SAEUImFs-iXAT";35;50000;"Hipoteca";5.0;"6bKNACAB-up1b";"Melhora_do_lar";"C";6000;13.49;0;0.12;"45kngxnO-kwyt";"N";6
"uFjPRJYe-am5E";22;12600;"Aluguel";2.0;"daN24KwG-gCRG";"Pessoal";"B";4000;10.37;1;0.32;"TGQzNKEi-kUxS";"N";4
"sCv13Rhg-WlKU";22;48000;"Hipoteca";6.0;"uu5RJimM-8Taf";"Pagamento_debitos";"A";4400;5.99;0;0.09;"mHIJ1tBT-aqCK";"N";3
"4r0gkvs0-1A9y";26;85000;"Hipoteca";8.0;"mj1m2ex4-dikh";"Medico";"A";15000;7.88;0;0.18;"kQnkKSED-jJkb";"N";4
"cfeEhbYx-Akl2";25;45000;"Hipoteca";7.0;"aIXlFeaP-dYY4";"Educativo";"A";7500;8.0;0;0.17;"B7ci4mW9-ETvs";"N";3
"ESqNy2EU-a4u3";23;30000;"Aluguel";0.0;"vKrwKFDw-3phm";"Pessoal";"B";1925;12.18;0;0.06;"hcbwORYq-XDJy";"N";2
"fkfIoptZ-A326";28;43200;"Aluguel";1.0;"yfJPrTf9-NWIL";"Medico";"A";3000;7.49;0;0.07;"Z8qWsbRJ-Oz9s";"N";9
"MrFZ1v2w-STBt";24;225000;"Aluguel";0.0;"6pZCUpvG-LtNQ";"Medico";"B";6000;0.0;0;0.03;"GRWfq7K8-8tgi";"N";4
"FOfr3ccB-o3N2";33;97000;"Hipoteca";15.0;"opKLlTNk-j9Rf";"Pessoal";"A";20000;6.17;0;0.21;"ILuGvTPJ-ZsjQ";"N";8
"kQkn9IhK-fNSo";26;60000;"Hipoteca";8.0;"BCvJBsgs-cI39";"Melhora_do_lar";"B";12000;10.65;0;0.2;"KNg2U3yz-bKi3";"N";2
"Tu1s3QW3-ZULj";0;40800;"Hipoteca";7.0;"C7zT7YAi-DZbu";"";"C";8500;0.0;0;0.23;"dL2xObhy-JJ9o";"N";6
"FUG8Peh2-A1Tg";28;76000;"Aluguel";2.0;"PW1aCD99-hnlI";"Medico";"B";8500;0.0;0;0.11;"PJAAHFR1-QOZJ";"N";5
"4EAZfNNK-Lay0";28;22000;"Propria";5.0;"6QXANR2x-6LEI";"Educativo";"A";8000;6.99;0;0.36;"lKZTU119-l7OX";"N";5
"01mYIc8o-5SsX";22;45000;"Aluguel";3.0;"zzGGi9ec-u2LF";"Empreendimento";"B";5000;12.42;0;0.11;"2l0WvCkT-vCj9";"N";2
"XsXlWTq3-4ua1";26;65219;"Aluguel";11.0;"PnN9EGAw-IqXX";"Pagamento_debitos";"D";21000;14.09;1;0.32;"vl6pedXL-60R6";"N";3
"zKhBXo2u-WqgH";23;70000;"Hipoteca";5.0;"oWxhfJ5z-XbcS";"Educativo";"B";20000;12.21;0;0.29;"dNdJZagZ-EYux";"N";4
"3NEGOMzb-U95m";30;34000;"Aluguel";0.0;"wjtyzz7Z-vuGm";"Medico";"D";6500;16.32;0;0.0;"6Oprdp2d-BTkP";"";10
"nf9OlKav-bWWl";34;25200;"Aluguel";0.0;"cjtBbX64-AuhI";"Empreendimento";"A";3000;7.66;0;0.12;"5GiOY3Q0-2TDJ";"N";8
"0xbUO6dd-m6fa";38;34296;"Propria";1.0;"s87imLzQ-ic3J";"Medico";"C";12000;0.0;0;0.35;"rQWBHM5n-UsKc";"Y";12
"pXiJUD4P-UrZm";30;57000;"Hipoteca";2.0;"eQeJIQaN-mpyW";"Empreendimento";"A";6000;7.51;0;0.11;"7f0xRW9K-zhXY";"N";8
"TnlN3Bys-T6d6";27;102000;"Hipoteca";9.0;"bYLSW2s2-IKtp";"Pessoal";"A";6000;7.49;0;0.06;"DsnZLjnO-8HT4";"N";9
"XULqSLp8-AJfC";25;31200;"Hipoteca";3.0;"BvDHiQr2-QybI";"Medico";"A";11200;5.42;0;0.36;"MmCzFF4M-ItPq";"N";2
"Tu0n0Zh2-omJu";35;32900;"Aluguel";4.0;"jy5lZ3aG-qH7J";"Melhora_do_lar";"C";4800;13.23;1;0.15;"8BXR5c4m-LTuc";"Y";9
"tAmwu9YU-qjz5";32;58000;"Aluguel";4.0;"cUpEbQSn-hndn";"Pessoal";"B";12000;11.26;0;0.21;"EpIMqpE5-o9GD";"N";10
"qydaXEkz-iRaI";24;29232;"Hipoteca";1.0;"497htGhq-j5tI";"";"B";6000;0.0;1;0.0;"SBQcpN2c-PAyD";"N";3
"Q6Ky6UtP-7hjb";30;67000;"Hipoteca";6.0;"arAp8q1t-Ki9W";"Melhora_do_lar";"A";10000;6.99;0;0.15;"PIbtCvUw-qf3K";"N";6
"k6PFhK7p-NWQE";26;80000;"Hipoteca";10.0;"vFLl1cpY-kuCo";"Pessoal";"B";25000;10.62;0;0.31;"6KzjLwxH-8yRF";"N";4
"frXEW1fG-c8nb";25;42996;"Propria";1.0;"632mp1hT-N1nL";"Empreendimento";"D";7200;14.11;0;0.17;"2lB70R7R-fYfE";"N";4
"s75pWmDa-xzk8";24;56000;"Hipoteca";2.0;"rUuBZnop-TJ2p";"Educativo";"C";5250;12.87;0;0.09;"gePvbdiY-2COW";"N";2
"vGJAbh5z-llW7";39;18300;"Aluguel";0.0;"fPHXzWc1-qMiU";"Educativo";"D";1200;14.74;1;0.07;"br63J2Gp-5t9b";"N";17
"HYNz400D-rzsb";22;60000;"Propria";7.0;"eNAftsYx-hTla";"Empreendimento";"D";15000;16.49;0;0.25;"4QvCYJZz-Qww5";"Y";2
"LmwskARR-HyA3";21;41900;"Aluguel";2.0;"0YpSbTgj-CZKT";"Empreendimento";"C";16000;12.84;1;0.38;"j3jnnG3T-iF3N";"Y";2
"GF79eYM4-xcMP";22;32000;"Aluguel";1.0;"UJDU4wt1-yGWW";"Educativo";"D";5400;16.29;1;0.17;"DOMft98J-Z3qm";"Y";2
"0AeYhoxq-8yCK";24;40944;"Aluguel";0.0;"7gjK8OfR-e6KH";"Medico";"B";8200;11.36;0;0.2;"2vTd45tS-v1sp";"N";4
"B9wkkAJn-gMDv";30;30000;"Hipoteca";3.0;"tjasoCDk-1L0R";"Melhora_do_lar";"B";4400;11.99;1;0.15;"Q9CwuIan-I2eW";"N";5
"rab9Ff8j-XYqI";23;60000;"Aluguel";0.0;"njPidLt8-wjG5";"Empreendimento";"A";8400;7.49;0;0.14;"e4sGSB0W-WsLj";"N";3
"zKgrT1aS-sD9F";27;30000;"Aluguel";5.0;"fOffGXYC-irng";"Pessoal";"B";4975;10.37;0;0.17;"4KP4y6jh-GQm8";"N";10
"y5IktnA2-Ngje";22;105000;"Hipoteca";6.0;"CPiXphjf-fwZn";"Pagamento_debitos";"B";12800;11.83;0;0.12;"T0QAjOzy-57ag";"N";3
"RsTyRRcX-8T7e";27;67200;"Aluguel";0.0;"TOvAB8HL-t6AL";"Pessoal";"A";8000;6.03;0;0.12;"vUzxBLkO-uHhl";"N";5
"iFUqbt43-oZiu";26;110000;"Aluguel";10.0;"6SAwXNCZ-MOhE";"Educativo";"A";0;0.0;0;0.3;"RDZA7Kmj-ItZU";"N";2
"6gvkMnO6-uuqJ";27;55200;"Propria";4.0;"neElFqPi-j5eC";"Educativo";"B";4000;0.0;0;0.07;"KvWZcfUs-8W1E";"N";10
"NNIllnbK-lPGm";35;95028;"Aluguel";2.0;"vs4HF7wi-ml41";"Melhora_do_lar";"D";5000;14.42;1;0.05;"9tpFQq96-b5Po";"Y";6
"YgZhwN7W-QXry";22;48000;"Aluguel";2.0;"QkKyU4Q5-aAhz";"Pagamento_debitos";"A";9000;7.88;0;0.19;"d1MthkRf-8j00";"N";2
"D00TwgLh-krqw";22;71004;"Aluguel";6.0;"slZMKNI7-WZIv";"Educativo";"B";1800;11.12;0;0.03;"48S099Y1-DNNM";"N";4
"YD73uWZc-c3tY";26;47000;"Aluguel";0.0;"nPB4OIPJ-LaTR";"Pessoal";"B";8000;10.0;0;0.17;"LyitpDIr-YNtm";"N";4
"dWGtXZy6-3ci7";26;75000;"Propria";10.0;"kxiFLYlb-1au1";"Empreendimento";"B";7000;10.59;0;0.09;"D2Z92Rbl-5deo";"N";4
"Nd27XiBX-lXUd";32;160000;"Hipoteca";2.0;"T3wsKLZm-NLwO";"Medico";"B";3200;0.0;0;0.02;"PRJU1oaG-yona";"N";5
"y8KjZlrL-hjyN";24;55152;"Hipoteca";8.0;"bf8RYJSD-Kc3R";"Educativo";"B";16000;11.49;0;0.29;"unsEbBI5-bXYJ";"N";4
"YdX4l0sJ-LZMG";25;52000;"Aluguel";9.0;"MaFZDHnY-Hda6";"Medico";"C";17000;12.98;1;0.33;"c8lW87wM-GMhY";"Y";2
"tE2MMb33-ZtT7";34;89000;"Aluguel";3.0;"j6eaWF98-rxdq";"Melhora_do_lar";"D";35000;18.25;1;0.39;"oJM66DQo-WPHF";"N";8
"5LOKAMjf-t6If";26;80000;"Aluguel";0.0;"ROe9TPsc-cXdB";"Melhora_do_lar";"A";8000;5.99;0;0.1;"JqhzcWky-zue8";"N";2
"o6mELtk2-D6w8";36;24000;"Hipoteca";2.0;"o4P4s9g8-zrLp";"Pagamento_debitos";"A";1500;9.63;0;0.06;"a2Yd1SZQ-zF8G";"N";16
"J11ES0Ry-hgQj";31;78000;"Aluguel";1.0;"WEldH3II-60gx";"Educativo";"A";14000;9.63;0;0.18;"CexFF6dj-NmOk";"N";5
"hhXkoBfz-wEx8";23;65000;"Aluguel";0.0;"hqumOMyJ-GF8j";"Educativo";"B";10000;11.49;0;0.15;"gv9qIaBS-Tvq2";"N";4
"Zmlj5iX7-j34z";24;96408;"Aluguel";1.0;"NGgzQY1F-ns7G";"Educativo";"C";7700;12.53;0;0.08;"wW1r1qm7-qwZj";"Y";4
"EtWcObc2-aKNM";29;48000;"Aluguel";2.0;"ogbrgb5F-avnr";"Pessoal";"B";15000;11.36;1;0.31;"YLvM6cHD-ERnb";"N";8
"jDAbR4yH-agLT";31;201000;"Hipoteca";3.0;"RtlW23oF-cYZZ";"Pessoal";"B";15000;11.12;0;0.07;"3RP5yd4b-ydEG";"N";5
"mBDQkXxn-W09H";25;42000;"Hipoteca";3.0;"jdYJNzZm-Y2O5";"Melhora_do_lar";"A";10000;5.42;0;0.24;"drKbdQub-4ilz";"N";2
"ectzteM8-ytwt";21;55000;"Hipoteca";5.0;"JiMUDk43-GyCB";"Educativo";"A";10500;7.51;0;0.19;"LWtEME1J-HA04";"N";3
"8Qh5Ffkt-r14R";26;165000;"Hipoteca";10.0;"YGxcjlj6-c0qf";"Educativo";"C";20000;13.22;0;0.12;"e2DZRn9z-kwRW";"Y";4
"AEpsJagl-h3fu";29;48000;"Hipoteca";13.0;"h8sl0W58-i84Z";"Pessoal";"B";20000;0.0;0;0.42;"ih1pXKup-NRad";"N";9
"0ukL0auq-BYJI";41;33000;"Aluguel";2.0;"rQokG9sY-x6tH";"Medico";"C";13750;13.79;1;0.42;"rmQ42xtt-QMEc";"Y";11
"jAb41JoC-krZf";29;89004;"Hipoteca";2.0;"ImoqHxST-v4TE";"Educativo";"D";4800;14.11;0;0.05;"IPzh6S8O-K4FO";"Y";8
"cTUwt8kS-ARBj";23;69000;"Aluguel";7.0;"FoQQNiNY-jtht";"Pagamento_debitos";"B";4800;10.75;0;0.07;"zbYMexHQ-ewLT";"N";2
"trr4Xfib-t7jj";23;86000;"Aluguel";0.0;"Jv7cCsSJ-SIQS";"Empreendimento";"B";4800;9.62;0;0.06;"o01fghQD-3wXv";"N";3
"ZwEyHyhu-QH6i";48;32304;"Hipoteca";22.0;"bATqbzLP-L41A";"Medico";"B";15000;9.63;0;0.46;"ReMy0FD5-dWpT";"N";17
"yB4Wzwh7-CD6D";49;74000;"Hipoteca";20.0;"7gsloTvE-Eiya";"Pagamento_debitos";"E";12000;17.99;1;0.16;"FCUXbt1e-f4wO";"N";15
"4NrcSSzj-kxcY";24;74400;"Aluguel";1.0;"dc1rhniP-Gw9N";"Medico";"A";3500;7.29;0;0.05;"sfrX5Qeo-wGlH";"N";3
"bJNvNByL-bulA";25;155000;"Hipoteca";9.0;"8hWEWTjS-RzO6";"Medico";"A";18000;7.51;0;0.12;"TZnTXZ7C-qADZ";"N";2
"8EWFYPgl-Emm6";23;24000;"Aluguel";0.0;"CcMNWC38-um4K";"Educativo";"B";6250;12.53;0;0.26;"NiP7UfnO-TCwm";"N";3
"YIHuehGl-eWpc";29;175000;"Hipoteca";2.0;"IHcxHFyD-ddZE";"Melhora_do_lar";"A";10000;0.0;0;0.06;"CRO9thKh-NYDn";"N";9
"Rg3NftRa-AQcu";22;62000;"Hipoteca";5.0;"9ESoPATv-TkIU";"Medico";"B";3000;8.7;0;0.05;"JF3FjoQH-IvJz";"N";3
"luGgeygo-6AIW";28;30000;"Aluguel";7.0;"lSMwmmlU-TKr2";"Empreendimento";"B";10000;10.38;1;0.33;"LIsjNEp6-kUGm";"N";5
"WjRdK1P5-jMah";22;88620;"Hipoteca";6.0;"katg4FoK-G4T9";"Pagamento_debitos";"A";24000;6.62;0;0.27;"FcLjTmbQ-nSKe";"N";3
"hT2vfYbe-Q3YY";31;36572;"Aluguel";0.0;"5kbRTZRO-0cbx";"Medico";"A";7900;0.0;0;0.22;"CGLJA0OT-D36F";"N";7
"wuM1Jfre-U3o4";39;78000;"Aluguel";3.0;"tsf37AEL-srJs";"Melhora_do_lar";"D";25000;16.02;1;0.32;"hsU2TWI0-Lb74";"N";17
"siaJTjgv-Sxs4";23;54000;"Aluguel";8.0;"JxAjPXc3-bRNq";"Empreendimento";"B";12000;11.36;0;0.22;"zTwRuOoX-noNx";"N";2
"Brm1ByNd-GavL";36;60000;"Aluguel";0.0;"L3BK1GkU-A89j";"Melhora_do_lar";"C";15000;13.57;0;0.25;"wt2FIFMl-iw13";"N";12
"hBn6Nj78-fvgu";26;31200;"Aluguel";8.0;"w1JRom7y-y1od";"Pessoal";"A";5000;8.63;0;0.16;"2SebLJsQ-lj5F";"N";2
"t59ApC2m-YYFd";30;28800;"Aluguel";1.0;"BztZjz7l-APOx";"Pagamento_debitos";"C";8000;12.73;0;0.28;"FlYfM4NA-7CZJ";"N";10
"qOcqMw7e-cSEm";24;60000;"Aluguel";8.0;"KZ88A61W-pFpI";"Pessoal";"D";20000;13.87;1;0.33;"uDYkqUoH-hRNe";"N";4
"BYmg43Fi-Mvaj";21;40000;"Aluguel";3.0;"i536G5cd-egh3";"Educativo";"D";7000;14.46;0;0.17;"M2sgMabi-q39B";"N";3
"l3GJZX2d-FL9R";23;70000;"Hipoteca";7.0;"W4k7lYUD-tlYy";"Educativo";"C";2000;13.49;0;0.03;"RQjTX0dE-rrFm";"Y";2
"fKl19XPm-0vET";38;17108;"Hipoteca";7.0;"zNPb9fWx-eZIT";"Educativo";"A";4375;7.51;1;0.26;"KTgskvaR-FZ7D";"N";17
"SieRZej2-JrNv";22;132000;"Hipoteca";3.0;"tzPtIlK7-hKun";"Medico";"A";10000;7.66;0;0.08;"K9y5yX8a-i5pg";"N";2
"JxCz24oq-iSbh";26;120000;"Aluguel";11.0;"QJpdYK4m-cbDw";"Melhora_do_lar";"C";10000;12.68;0;0.08;"mGR46RER-d7Iq";"N";2
"flpZfspk-bUuL";23;54500;"Aluguel";2.0;"4NHe4vfi-QLvW";"Pagamento_debitos";"A";8000;0.0;0;0.15;"fbc8cPEp-uJEB";"N";2
"YrWUETvK-7FQp";27;0;"Hipoteca";10.0;"LUAjpAb7-GZmf";"Medico";"A";0;12.69;0;0.11;"C03Pri76-HmSP";"N";4
"TisYGu9A-jDvt";26;54011;"Aluguel";10.0;"zXODYzM4-3FBE";"Educativo";"D";9500;16.29;0;0.18;"QYDkNAGS-xs3C";"N";2
"ITfHIavf-8dfb";43;62000;"Hipoteca";2.0;"EQR43unB-Em5y";"Educativo";"B";20000;10.25;0;0.32;"bYu8mm9K-recI";"N";14
"UScp7wo3-zHEj";24;31776;"Aluguel";6.0;"gKd53Q6Q-hN5u";"Empreendimento";"A";4700;8.94;0;0.15;"wC4AE1eM-8eKL";"N";3
"c7oX7oWG-4sj1";54;154000;"Hipoteca";1.0;"mLhRmSUc-UsTE";"Pessoal";"B";12000;12.69;0;0.08;"xTUl8XZ0-2chf";"N";26
"qWrFWg1h-481A";27;38500;"Aluguel";0.0;"wWgIR0os-7Kk0";"Pagamento_debitos";"B";11500;12.42;0;0.3;"uWYtvPvX-wZy0";"N";9
"oh6P4WhY-oWlC";26;40272;"Hipoteca";3.0;"O0eLB2L1-SpMS";"Educativo";"B";10000;11.86;0;0.25;"EjDNRRnR-TiH9";"N";3
"tHhovZu7-yAyc";29;220000;"Hipoteca";13.0;"0eLybnh2-aE9r";"Pagamento_debitos";"B";8500;10.37;0;0.04;"I4PWxFFm-Dx3k";"N";5
"lHEBx3eh-5lqs";32;60000;"Aluguel";0.0;"Fb5MUBai-MKqR";"Pessoal";"B";10000;12.42;0;0.17;"bFUqgLWa-TLR1";"N";9
"DrjGBmlM-AyCg";22;12000;"Aluguel";0.0;"OLWnxxXJ-h1Kt";"Educativo";"A";6700;7.66;1;0.56;"GyeCHmNn-AGXy";"N";4
"1ocpbjSJ-z6di";31;135000;"Hipoteca";12.0;"fO7Hnf3c-rglN";"Educativo";"C";15000;13.85;0;0.11;"j1isnOuI-vt4H";"Y";9
